,0,1
0,TTC9C,2
1,ARMCX5,3
2,NEK1,2
3,MARCO,2
4,AUH,2
5,TTYH3,3
6,SLC26A4,3
7,FAM153B,2
8,SH3BP1,2
9,NAPEPLD,2
10,SHC3,2
11,GBP2,4
12,MRPL35,3
13,MYO1F,2
14,AK4,2
15,SEMA4D,2
16,IGHV1-2,4
17,ANTXR1,2
18,CD86,2
19,PIK3R2,4
20,C12orf4,2
21,ETV3,2
22,SORCS2,2
23,LSP1,4
24,CDK19,2
25,PUS10,2
26,CA8,2
27,SPDEF,2
28,TYMS,4
29,CBL,3
30,TPCN1,3
31,YIPF1,2
32,MAMDC4,3
33,DBF4,2
34,LRRC75A,2
35,IGKV3-11,6
36,TFF3,2
37,ZMYM3,2
38,ARHGAP10,3
39,RASGRF1,2
40,SZT2,2
41,MEGF8,2
42,TSPYL2,3
43,MTFP1,4
44,N4BP2L1,2
45,TUBGCP4,2
46,KCTD18,2
47,NAT10,2
48,NFATC2,3
49,FBXO44,2
50,VRK2,2
51,STRBP,2
52,GPC5,2
53,IFI44,3
54,LIMK1,2
55,AP3S2,2
56,MCF2L,2
57,ZNF347,2
58,HAUS4,2
59,ZNF160,2
60,RAB23,3
61,ZBTB11,2
62,ZFP14,3
63,CEP192,2
64,RTN4RL1,2
65,CCL5,4
66,FBXL20,2
67,PDCD7,2
68,PTCH2,2
69,PTPRC,4
70,ZNF710,2
71,BMP4,3
72,GMDS,2
73,RFX5,2
74,TBCK,2
75,CD83,4
76,CEP78,4
77,RASGRP1,3
78,KCNJ5,3
79,ARHGEF40,2
80,SCARF1,4
81,FTX,2
82,GPR183,5
83,PARP2,2
84,DTNB,2
85,POLB,3
86,ZNF776,2
87,ERCC6L2,2
88,C8orf34-AS1,2
89,MMP9,7
90,AAGAB,2
91,ZNF766,3
92,HERC3,2
93,IGSF6,4
94,INO80B,2
95,COLEC12,2
96,TAPBPL,2
97,ZNF420,2
98,IKZF3,3
99,MBD5,2
100,PLK3,2
101,PAG1,2
102,TBL1X,2
103,SLC2A1,3
104,FDXR,2
105,SLC2A11,2
106,IL16,2
107,PAPOLG,2
108,TUBGCP6,2
109,SLC30A1,2
110,FANCD2,3
111,SIGMAR1,2
112,ZDHHC14,2
113,NNMT,2
114,MDFIC,2
115,C3orf62,2
116,ZNF175,2
117,ST8SIA4,3
118,BCL2A1,2
119,FTSJ3,3
120,RHBDL2,2
121,PUS3,2
122,GABBR2,3
123,PCDH9,2
124,WDR48,2
125,NBL1,2
126,CSRNP3,2
127,MROH6,2
128,NXPE3,2
129,PGAP2,2
130,HP,3
131,PPM1D,2
132,HBA2,4
133,FBXL4,2
134,TRMT10B,2
135,GXYLT2,2
136,PLAT,2
137,TDRD3,3
138,PIM2,2
139,MAML3,2
140,BLMH,2
141,C12orf75,3
142,LRP12,2
143,HIVEP3,4
144,CD36,2
145,OPA1,2
146,EPHB3,2
147,RFTN1,3
148,PHTF1,2
149,KBTBD6,3
150,NOMO1,3
151,ORAI2,3
152,TFAP2C,2
153,PLEKHA8,3
154,URB1,2
155,TUBD1,2
156,TTN,2
157,GBP5,4
158,MUC5B,3
159,FBXO6,2
160,ALG14,2
161,TLE1,2
162,MX1,4
163,NIPAL2,2
164,NLRC5,2
165,GPR89B,2
166,TAMM41,3
167,DNAJA4,2
168,GDF11,2
169,GTDC1,2
170,ZNF337,2
171,VANGL1,2
172,ROS1,2
173,P2RY6,2
174,TMEM8B,2
175,ZNF143,3
176,DTYMK,3
177,METTL2B,2
178,DUSP10,3
179,EZH2,3
180,RRP36,2
181,ELP3,2
182,SCIN,3
183,WDR83,3
184,ACOT2,2
185,ALYREF,5
186,BPIFB1,3
187,CDC14B,3
188,SHROOM2,2
189,SMPDL3A,2
190,C1GALT1C1,2
191,TTI1,2
192,AMN1,2
193,COCH,4
194,SAMD9,3
195,GLIPR1,3
196,PLEKHS1,2
197,ZFP90,2
198,APOLD1,2
199,EPHB2,3
200,ACTA2,2
201,OLR1,5
202,TRIM69,2
203,SLC4A5,2
204,SDR42E2,2
205,CSF2RB,2
206,CNTNAP3B,2
207,ZNF678,2
208,CYBB,5
209,CA2,3
210,NUP210,3
211,PTPN6,3
212,AASS,2
213,RGN,2
214,TLR2,2
215,HRH1,3
216,IFI44L,3
217,HIF1AN,2
218,CCDC122,2
219,L3MBTL3,2
220,AKNA,2
221,TTF2,3
222,TRIL,2
223,UNC5B,2
224,LRP3,2
225,FGG,2
226,SERPINB9,2
227,POU2F1,2
228,IPCEF1,2
229,CNTRL,3
230,IER5L,2
231,VILL,2
232,MCC,2
233,TNFSF15,4
234,CPT2,3
235,CEP295,2
236,FAM110C,2
237,OAS2,3
238,TPST1,2
239,SMC2,3
240,TRAPPC11,2
241,ME3,2
242,GLCE,2
243,SEZ6L2,2
244,XAF1,4
245,STXBP4,2
246,METTL4,2
247,CORO1A,6
248,RFWD3,3
249,OGFRL1,3
250,TOP2A,5
251,NGRN,2
252,GNPDA2,2
253,DGKA,2
254,HSD17B13,3
255,SDSL,2
256,PSTPIP2,4
257,PRKAA2,2
258,NRGN,3
259,CYP7B1,2
260,RABL2B,2
261,CD14,2
262,TRIM6,2
263,CXCL14,3
264,SLC4A11,2
265,FAM193A,3
266,SGTB,2
267,IL1RN,5
268,CSTF2T,2
269,MBTD1,2
270,FAM118B,3
271,HMCN1,3
272,TTC23,2
273,CD53,2
274,CDCA7,5
275,SIX4,2
276,TMEM184C,2
277,RAB30,4
278,ITPR1,2
279,PTK2B,2
280,POU2AF1,3
281,HIST1H2BG,5
282,DZIP3,2
283,ETV1,2
284,SDK2,2
285,ICK,2
286,DBP,2
287,ATAD2B,3
288,LINC01116,2
289,LGALSL,2
290,MCM6,3
291,UBD,2
292,SNX16,2
293,CWF19L1,2
294,ARHGAP8,2
295,PDE4B,3
296,FCGR2A,2
297,CCL4,3
298,ZNF248,2
299,BCAS1,2
300,KDM5D,2
301,EXTL3,2
302,MX2,3
303,SCTR,2
304,RSPH3,2
305,ALPK1,2
306,HS3ST1,4
307,PPFIBP2,3
308,BATF,2
309,SMAD6,2
310,RUBCN,3
311,LRG1,2
312,TRAF3IP2,2
313,FOXO1,2
314,MYO1G,3
315,CHST3,3
316,ZNF618,3
317,IKBKE,2
318,LPCAT4,3
319,DYSF,3
320,FREM2,2
321,RND1,2
322,ERV3-1,2
323,NRP1,4
324,FIGN,2
325,ZNF720,2
326,TRIM14,3
327,SEMA3C,3
328,NPDC1,2
329,AMPD3,3
330,CCDC88C,2
331,AC023590.1,3
332,TRAC,4
333,HELLS,4
334,ZNF765,2
335,IGLV3-21,6
336,CDH11,2
337,LY75,4
338,C8orf34,2
339,B3GNT9,2
340,SLC2A10,2
341,ZNF625,3
342,MTA2,2
343,CD79A,4
344,XRCC4,3
345,FAAP100,2
346,SLFN12,2
347,TEAD2,3
348,FAM168A,2
349,RNF2,2
350,ZWILCH,3
351,IGHM,3
352,PRDM1,6
353,FRK,3
354,ATR,2
355,STEAP2,2
356,DAPP1,3
357,CEP152,2
358,GNG10,3
359,CCDC34,3
360,ETAA1,3
361,MICAL3,2
362,PRKACB,2
363,KCNK6,3
364,ERP27,2
365,PHF21A,3
366,ANKRD52,2
367,TNFAIP2,4
368,TFDP1,2
369,EMSY,2
370,CYP1B1,3
371,STX19,2
372,MAD1L1,2
373,ARNTL2,5
374,SORD,2
375,IKZF2,2
376,MDGA1,2
377,JAK2,2
378,ZNF740,2
379,TNFRSF10A,2
380,NCKAP1L,2
381,RAB12,2
382,MREG,3
383,PJA1,2
384,FAM76B,2
385,PSMB8-AS1,2
386,ALG1,2
387,FAAH2,2
388,ALG11,2
389,SNX9,3
390,GAREM1,2
391,LRMP,2
392,ZBTB25,2
393,PGM5,3
394,ZNF559,2
395,LRRC8C,2
396,SAMD5,2
397,ATP2A3,3
398,RAMP1,3
399,LAT,2
400,ZNF426,2
401,ZNF785,2
402,CASC8,2
403,BTN3A3,2
404,HLA-DQA2,6
405,TBC1D1,2
406,CPAMD8,2
407,CHST11,2
408,LIMD2,3
409,KDR,2
410,GGH,3
411,SLC22A5,2
412,PDE6B,2
413,DCLRE1C,3
414,CKAP2,2
415,BMP1,2
416,NREP,2
417,C5AR1,2
418,SLC35F2,3
419,SPTLC3,2
420,NIN,2
421,ZNF692,2
422,MYO5A,2
423,HS6ST2,3
424,ETS1,4
425,LMNB2,2
426,ZNF117,2
427,ADAM28,4
428,PIK3R3,2
429,EPB41L2,4
430,ZNF480,2
431,IRF8,2
432,CXCL10,4
433,SIPA1L2,2
434,PNMA2,2
435,ENC1,2
436,SUSD1,2
437,SMAD1,3
438,PAGR1,5
439,SP4,2
440,KCND3,3
441,FLVCR1,2
442,RCBTB2,3
443,CYP2J2,2
444,ZNF682,2
445,ZSCAN29,2
446,PDE9A,3
447,MMD,3
448,THAP6,2
449,TEX9,3
450,L3MBTL4,2
451,KIAA1841,2
452,RGS1,3
453,ZNF680,3
454,HAGLR,2
455,SEMA3F,2
456,POLG2,3
457,IKZF4,2
458,PROCR,2
459,ABHD5,2
460,COL6A1,3
461,KIF20B,3
462,PCP4,3
463,SYP,2
464,NPAT,3
465,ARHGAP42,2
466,CFTR,2
467,LRRC4,2
468,PLEK2,3
469,FGL2,6
470,TNFSF13B,3
471,NCF2,2
472,TOX,2
473,BANP,2
474,ZNF609,2
475,USP42,2
476,CD48,3
477,SLC31A1,2
478,FZD3,3
479,GABPB2,2
480,CFAP221,2
481,STRADB,2
482,A2M,3
483,EDA2R,2
484,ANKRD26,3
485,HHLA2,3
486,PEX11A,2
487,TRERF1,2
488,MZB1,7
489,WDR66,2
490,CD3E,4
491,HLA-DMB,2
492,NEIL2,2
493,APOBEC3G,2
494,PPP2R1B,2
495,ZNF512,2
496,CEACAM1,3
497,PPP1R3B,2
498,MBLAC2,2
499,EDNRA,2
500,PTP4A3,2
501,UGGT2,2
502,CFB,4
503,WDFY3,2
504,ZFY,2
505,HELB,2
506,ZNF445,2
507,ETV7,4
508,SND1-IT1,2
509,ACSS3,2
510,DCBLD1,2
511,STYX,2
512,SLC25A12,2
513,MAP3K1,2
514,KLF4,3
515,TLR5,2
516,USP28,3
517,IFT74,2
518,NHS,3
519,UTY,2
520,FKBP15,3
521,FKBP11,2
522,GEM,3
523,INTS9,2
524,DSE,2
525,SYTL2,3
526,ZSCAN30,2
527,IL1RAP,2
528,UNKL,2
529,FUT8,2
530,ALDH18A1,2
531,TMEM51,3
532,KYNU,2
533,ZNF687,2
534,MOB3B,3
535,NPIPB5,2
536,KLHL5,5
537,CD2,3
538,SNCA,2
539,SIAE,2
540,FYN,2
541,GALNT12,2
542,IFI30,3
543,DCAF17,2
544,MTRF1L,2
545,ZNF384,2
546,CLDN2,2
547,PIGK,3
548,SAP25,2
549,SPINK1,3
550,ANO5,2
551,ARHGEF19,2
552,TMEM39A,2
553,TRIM26,3
554,MAN1A1,3
555,EIF4EBP3,2
556,TBC1D8B,2
557,TMEM241,2
558,TXNDC5,6
559,SLC27A2,2
560,RAVER1,3
561,SERPIND1,3
562,GPR160,2
563,BLNK,4
564,BMP3,2
565,CIITA,4
566,MRI1,3
567,RACGAP1,2
568,PRKCA,3
569,AADAC,2
570,DLEU2,2
571,RNASE4,3
572,ASPA,2
573,VASN,2
574,C5,2
575,PIK3R4,2
576,TTC9,3
577,DNMBP,2
578,RNF217,2
579,HPS5,3
580,SPATA18,3
581,ZNF528,2
582,KCNJ2,2
583,ABHD16A,3
584,TPMT,2
585,ZBTB14,2
586,PIK3C2B,2
587,NPIPA5,3
588,SP110,4
589,FAM114A2,2
590,SLAMF7,5
591,NYNRIN,3
592,PKIB,2
593,CYSLTR1,4
594,R3HDM1,2
595,TLCD2,2
596,LINC00893,2
597,OAS1,2
598,KAZN,2
599,PTAFR,2
600,FZR1,2
601,ZRANB1,2
602,OAF,2
603,PHF6,3
604,IL2RG,3
605,PKD2,3
606,HIST1H2BD,2
607,CHIT1,5
608,PIGB,2
609,NCAPD2,2
610,TNKS,3
611,PMP22,3
612,NSUN6,2
613,MARVELD3,2
614,LTB,4
615,PTPRN2,4
616,NFE2L3,2
617,PELP1,3
618,MCM5,2
619,TSPAN5,2
620,ZNF43,3
621,CLEC5A,2
622,IGIP,2
623,AGA,2
624,PCDHGA10,2
625,PLA2G7,3
626,GTF2H2,3
627,RASSF3,2
628,ANTXR2,3
629,GBP4,4
630,PIBF1,2
631,ZNF197,2
632,MFGE8,2
633,RBM43,2
634,RPS6KC1,2
635,SYK,3
636,RTN1,2
637,SULF2,2
638,ARL17A,2
639,ARHGEF3,2
640,CCDC88A,3
641,CCZ1B,4
642,SAMD9L,4
643,MIR99AHG,3
644,APOL3,4
645,FUT2,2
646,HAS3,3
647,NDC1,2
648,ITGB2,4
649,AMT,2
650,DNMT3A,2
651,TMEM94,3
652,DDX60,4
653,LXN,2
654,ANKRD22,4
655,SLC41A1,2
656,TK1,3
657,PPP3R1,2
658,FBLIM1,3
659,NBPF20,2
660,ZBTB41,2
661,ZNF605,2
662,EED,2
663,SLC39A10,2
664,SPIN2B,2
665,KIF16B,3
666,MCM8,2
667,TGM2,3
668,TRIM66,2
669,TBC1D16,2
670,CD38,4
671,ZBTB7C,2
672,THNSL2,2
673,SLC6A14,2
674,NR2F1,2
675,NCALD,2
676,NOP14,2
677,SPATA7,2
678,GMPR,2
679,PDGFC,2
680,TP53INP2,2
681,REPS1,2
682,ATAD2,4
683,MGME1,2
684,LINS1,2
685,FCHSD2,2
686,AVIL,3
687,ZNF217,2
688,SIDT1,3
689,SEMA4C,2
690,SLC18B1,2
691,ING1,2
692,C4orf33,2
693,SPATA20,2
694,CHI3L1,7
695,ARHGEF38,2
696,ZNRF3,2
697,HAPLN3,3
698,BAHCC1,2
699,CBFA2T2,2
700,ZNF236,2
701,MUC21,3
702,MBNL3,2
703,COX18,3
704,TNIP3,3
705,ZSWIM4,2
706,SPATS2,3
707,CDK14,2
708,FPR3,3
709,FAM49A,3
710,SLC41A2,3
711,MAST3,2
712,TNFRSF1B,2
713,TRBC2,3
714,MALT1,2
715,BCOR,3
716,CSF1,4
717,CHKB,3
718,BCL11A,4
719,PAPPA,3
720,POC1B,2
721,SKIDA1,2
722,CCL3,5
723,FLI1,2
724,IL7R,2
725,HEATR3,2
726,IGKV3-20,4
727,KSR1,2
728,MAP3K12,3
729,EARS2,2
730,PYROXD2,3
731,FMNL3,3
732,BLOC1S5,2
733,HLA-DOA,3
734,BRI3BP,3
735,TESC,2
736,CRYM,3
737,ELF5,2
738,DUSP5,2
739,RNFT1,2
740,RBM41,3
741,TRAF5,2
742,LYRM7,2
743,LPAR1,2
744,CDCP1,4
745,TMEM163,2
746,NPIPA1,2
747,OSBPL3,2
748,HEATR6,2
749,IGLV3-19,5
750,PACRGL,2
751,TRANK1,3
752,IGKV1-39,5
753,CASP1,2
754,ELP5,2
755,PARG,2
756,MAPK10,2
757,FAM13A,2
758,BARD1,3
759,BCL2L15,2
760,IGLC3,6
761,CENPQ,4
762,RNGTT,2
763,PITPNM1,2
764,BRCA2,3
765,PLEK,2
766,TMEM59L,2
767,INPP5B,3
768,ZNF136,2
769,CDKN2A,3
770,SLCO2A1,3
771,TBC1D30,2
772,VSIG1,3
773,CEP120,2
774,HLTF,3
775,ZBED6,3
776,SOX5,3
777,BID,2
778,GHDC,2
779,ZNF362,2
780,DMBT1,3
781,NFATC1,2
782,FAM110A,2
783,PIWIL1,2
784,ZNF514,2
785,DHFR,2
786,SERPINI1,2
787,PRNCR1,3
788,IGHV3-23,5
789,EPSTI1,3
790,RPUSD4,2
791,SARS2,2
792,CEP162,2
793,PCSK1N,3
794,KDELR3,3
795,HPS3,2
796,KRT4,2
797,STEAP3,2
798,TRAK2,2
799,IGKV4-1,4
800,RALGPS2,2
801,ADCY7,2
802,LINC01184,3
803,IFIT2,4
804,IGSF9,2
805,CLSTN3,2
806,LAMB1,2
807,RMI2,2
808,TTC6,2
809,HERC6,2
810,ADAM8,3
811,IFT46,2
812,STYXL1,3
813,TSPYL4,2
814,GPAM,2
815,TECPR2,2
816,PITPNM3,2
817,CPSF3,3
818,SSPN,3
819,DPP4,2
820,BTN2A2,5
821,RAPGEF5,2
822,MIER3,2
823,NBPF1,2
824,LILRB4,3
825,PLAU,3
